row,sampled,bucket,path,kind,literal,context,classification,reason
38,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""log_events""","insert_bool(&mut table, ""log_events"", strategy.config.log_events);",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
39,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""log_rejected_due_post_only_as_warning""","""log_rejected_due_post_only_as_warning"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
40,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""manage_contingent_orders""","""manage_contingent_orders"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
41,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""manage_gtd_expiry""","""manage_gtd_expiry"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
42,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""manage_stop""","insert_bool(&mut table, ""manage_stop"", strategy.config.manage_stop);",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
43,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""market_exit_interval_ms""","""market_exit_interval_ms"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
44,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""market_exit_max_attempts""","""market_exit_max_attempts"",",strategy_runtime_validation_field,This field-name literal labels the configured market-exit runtime value in validation diagnostics; the value remains TOML-owned.
45,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""forced_exit_order""","""forced_exit_order"",",strategy_runtime_schema_field,This is the configured forced-exit NT order-template table projected from bolt-v3 TOML into the runtime strategy config.
46,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""market_selection_rule""","""market_selection_rule"",",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML market selection rule."
47,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""maximum_position_notional""","""maximum_position_notional"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
48,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""oms_type""","insert_string(&mut table, ""oms_type"", oms_type_value(strategy));",strategy_runtime_schema_field,"This is an existing taker strategy config schema field name, populated from bolt-v3 TOML oms_type."
49,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""order_id_tag""","""order_id_tag"",",strategy_runtime_schema_field,"This is an existing taker strategy config schema field name, populated from bolt-v3 TOML order_id_tag."
50,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""order_notional_target""","insert_float(&mut table, ""order_notional_target"", order_notional_target);",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
51,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""order_type""","""order_type"",",strategy_runtime_schema_field,This is the nested order-config field name projected from bolt-v3 TOML entry and exit order parameters into the taker StrategyConfig table.
52,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""parameters.maximum_position_notional""","""parameters.maximum_position_notional"",",strategy_archetype_source_field_name,This names the bolt-v3 TOML source field converted into the existing taker config shape.
53,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""parameters.order_notional_target""","""parameters.order_notional_target"",",strategy_archetype_source_field_name,This names the bolt-v3 TOML source field converted into the existing taker config shape.
54,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""position_side""","""position_side"",",strategy_runtime_schema_field,This is a nested taker strategy config schema field name; the value is populated from bolt-v3 TOML order parameters.
55,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""price_to_beat_source""","insert_string(&mut table, ""price_to_beat_source"", price_to_beat_source);",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value is derived from target gate TOML during the temporary runtime bridge.
56,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""pricing_kurtosis""","""pricing_kurtosis"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
57,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""reentry_cooldown_secs""","""reentry_cooldown_secs"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
58,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""signal_instrument_id""","""signal_instrument_id"",",strategy_runtime_schema_field,This is the taker StrategyConfig field name populated from the configured bolt-v3 TOML signal_data role instrument_id.
59,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""signal_venue""","""signal_venue"",",strategy_runtime_schema_field,This is the taker StrategyConfig field name populated from the configured signal_data data_client_id role.
60,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""retry_interval_seconds""","""retry_interval_seconds"",",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target retry interval."
61,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""risk_lambda""","insert_float(&mut table, ""risk_lambda"", parameters.runtime.risk_lambda);",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
62,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""sizing_ev_reference_bps""","""sizing_ev_reference_bps"",",strategy_runtime_schema_field,This is a taker strategy config schema field name; the EV sizing reference value comes from bolt-v3 TOML (#618).
63,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""rotating_market_family""","""rotating_market_family"",",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML rotating market family."
64,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""side""","insert_string(&mut order_table, ""side"", enum_variant_lowercase(order.side));",strategy_runtime_schema_field,This is the nested order-config field name projected from NT OrderSide values supplied by bolt-v3 TOML entry and exit order parameters.
65,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""strategies.{strategy_instance_id} {field} cannot be represented for existing taker config: `{value}`""","""strategies.{strategy_instance_id} {field} cannot be represented for existing taker config: `{value}`""",strategy_archetype_diagnostic_template,This diagnostic reports a config-to-existing-strategy numeric conversion failure; it is not a runtime value.
66,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""allows at most one [signal_data.<role>] block; got roles [{}]""","""allows at most one [signal_data.<role>] block; got roles [{}]"",",strategy_archetype_diagnostic_template,This diagnostic rejects ambiguous signal_data role wiring before deriving runtime config; it is not a runtime value.
67,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""{context}: strategy_archetype `binary_oracle_edge_taker` allows at most one [signal_data.<role>] block""","""{context}: strategy_archetype `binary_oracle_edge_taker` allows at most one [signal_data.<role>] block""",strategy_archetype_diagnostic_template,This validation diagnostic rejects ambiguous signal_data role wiring; it is not a runtime value.
68,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""strategy_id""","insert_string(&mut table, ""strategy_id"", nt_strategy_id(strategy)?);",strategy_runtime_schema_field,"This is an existing taker strategy config schema field name, populated from bolt-v3 TOML."
69,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""target_kind""","insert_string(&mut table, ""target_kind"", target.target_kind);",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target kind."
70,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""theta_decay_factor""","""theta_decay_factor"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
71,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""time_in_force""","""time_in_force"",",strategy_runtime_schema_field,"This is a nested existing taker strategy config schema field name, populated from bolt-v3 TOML order parameters."
72,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trade_flow_max_samples""","""trade_flow_max_samples"",",strategy_runtime_schema_field,This is a taker strategy config schema field name; the signed-trade-flow per-instrument sample cap comes from bolt-v3 TOML.
73,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trade_flow_window_secs""","""trade_flow_window_secs"",",strategy_runtime_schema_field,This is a taker strategy config schema field name; the signed-trade-flow retention window comes from bolt-v3 TOML.
74,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""spike_guard_return_threshold""","""spike_guard_return_threshold"",",strategy_runtime_schema_field,This is a taker strategy config schema field name; the entry spike-guard single-step return threshold comes from bolt-v3 TOML.
75,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""spike_guard_cooldown_secs""","""spike_guard_cooldown_secs"",",strategy_runtime_schema_field,This is a taker strategy config schema field name; the entry spike-guard cooldown duration comes from bolt-v3 TOML.
76,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""underlying_asset""","insert_string(&mut table, ""underlying_asset"", target.underlying_asset);",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target underlying asset."
77,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""use_hyphens_in_client_order_ids""","""use_hyphens_in_client_order_ids"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
78,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""use_uuid_client_order_ids""","""use_uuid_client_order_ids"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
79,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""warmup_tick_count""","""warmup_tick_count"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
80,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,number,0,"sorted_strategy_texts.sort_by(|left, right| left.0.cmp(&right.0));",config_bundle_checksum_tuple_field_index,This tuple index sorts strategy-fragment paths for deterministic config-bundle checksum framing.
81,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,number,0,"update_config_bundle_entry(&mut hasher, 0, ""root"", root_checksum_text.as_bytes());",config_bundle_checksum_entry_kind,This structural tag distinguishes the root TOML entry inside the config-bundle checksum framing.
82,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,number,0,let mut offset = 0;,generated_live_config_header_strip_offset,"Initial byte offset used while stripping the generated live-config provenance comment header before checksum framing; it is parser state, not a runtime value."
83,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,number,1,hasher.update((strategy_texts.len() as u32 + 1).to_be_bytes());,config_bundle_checksum_root_entry_count,This adds the root TOML entry to the strategy-fragment count for deterministic checksum framing.
84,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,number,1,"update_config_bundle_entry(&mut hasher, 1, relative_path, text.as_bytes());",config_bundle_checksum_entry_kind,This structural tag distinguishes strategy-fragment TOML entries inside the config-bundle checksum framing.
85,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,string,"""root""","update_config_bundle_entry(&mut hasher, 0, ""root"", root_checksum_text.as_bytes());",config_bundle_checksum_root_label,This structural label identifies the root TOML bytes inside the config-bundle checksum framing.
86,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_config.rs,string,"b""bolt-v3.config-bundle.v1\n""","const CONFIG_BUNDLE_CHECKSUM_DOMAIN: &[u8] = b""bolt-v3.config-bundle.v1\n"";",config_bundle_checksum_domain_separator,This domain separator pins the config-bundle checksum format used to bind strategy-free readiness to the loaded TOML bundle.
87,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_decision_evidence.rs,string,"""strategy_input_snapshot""","pub const BOLT_V3_STRATEGY_INPUT_SNAPSHOT_RECORD_KIND: &str = ""strategy_input_snapshot"";",decision_evidence_record_kind,"This is the JSONL envelope discriminator for strategy-input snapshot records and is part of the audit-record contract, not an operator runtime value."
88,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_decision_evidence.rs,string,"""order_intent""","pub const BOLT_V3_ORDER_INTENT_RECORD_KIND: &str = ""order_intent"";",decision_evidence_record_kind,"This is the JSONL envelope discriminator for order-intent records and is part of the audit-record contract, not an operator runtime value."
89,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_decision_evidence.rs,string,"""admission_decision""","pub const BOLT_V3_ADMISSION_DECISION_RECORD_KIND: &str = ""admission_decision"";",decision_evidence_record_kind,"This is the JSONL envelope discriminator for admission-decision records and is part of the audit-record contract, not an operator runtime value."
90,yes,NO_POLICY_TERM,src/shadow_pnl.rs,number,1,const SHADOW_PNL_COUNT_INCREMENT: u64 = 1;,shadow_pnl_aggregation_unit,"Each admitted entry chain contributes one would-be trade and, when settlement wins, one win to the report aggregate; this is report structure, not an operator runtime value."
91,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/shadow_pnl.rs,number,1,const SHADOW_PNL_LINE_NUMBER_BASE: usize = 1;,shadow_pnl_diagnostic_line_number_base,This converts zero-based JSONL iterator indexes to one-based operator diagnostics; it does not affect trading behavior.
92,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/shadow_pnl.rs,number,6,const SHADOW_PNL_DECIMAL_SCALE: u32 = 6;,shadow_pnl_report_display_precision,This controls CSV decimal display precision for the shadow PnL report only; no strategy or execution behavior reads it.
93,yes,NO_POLICY_TERM,src/shadow_pnl.rs,number,0,"0 => Ok(None),",shadow_pnl_settlement_cardinality,"This is the zero-match arm in the settlement selector; it is structural match-cardinality logic, not an operator runtime value."
94,no,NO_POLICY_TERM,src/shadow_pnl.rs,number,1,"1 => Ok(Some(settlements[0])),",shadow_pnl_settlement_cardinality,"This is the single-match arm in the settlement selector; it is structural match-cardinality logic, not an operator runtime value."
95,yes,NO_POLICY_TERM,src/shadow_pnl.rs,number,0,"1 => Ok(Some(settlements[0])),",shadow_pnl_settlement_single_match_index,"This selects the sole settlement row after the cardinality check has proven exactly one match; it is collection indexing structure, not an operator runtime value."
